prefix,country,market_id
776,US,TX_HOU
777,US,TX_HOU
778,US,TX_HOU
780,US,TX_LAR
788,US,TX_LAR
769,US,TX_LUB
792,US,TX_LUB
793,US,TX_LUB
794,US,TX_LUB
795,US,TX_LUB
796,US,TX_LUB
797,US,TX_LUB
881,US,TX_LUB
882,US,TX_LUB
783,US,TX_MCA
784,US,TX_MCA
785,US,TX_MCA
779,US,TX_ANT
781,US,TX_ANT
782,US,TX_ANT
718,US,TX_TEX
755,US,TX_TEX
840,US,UT_SLC
841,US,UT_SLC
842,US,UT_SLC
843,US,UT_SLC
844,US,UT_SLC
846,US,UT_SLC
847,US,UT_SLC
233,US,VA_NOR
234,US,VA_NOR
235,US,VA_NOR
236,US,VA_NOR
237,US,VA_NOR
279,US,VA_NOR
224,US,VA_RCH
225,US,VA_RCH
229,US,VA_RCH
230,US,VA_RCH
231,US,VA_RCH
232,US,VA_RCH
238,US,VA_RCH
239,US,VA_ROA
240,US,VA_ROA
241,US,VA_ROA
243,US,VA_ROA
244,US,VA_ROA
245,US,VA_ROA
215,US,VA_WIN
217,US,VA_WIN
226,US,VA_WIN
228,US,VA_WIN
254,US,VA_WIN
267,US,VA_WIN
268,US,VA_WIN
980,US,WA_SEA
981,US,WA_SEA
982,US,WA_SEA
983,US,WA_SEA
984,US,WA_SEA
985,US,WA_SEA
835,US,WA_SPO
838,US,WA_SPO
988,US,WA_SPO
990,US,WA_SPO
991,US,WA_SPO
992,US,WA_SPO
994,US,WA_SPO
540,US,WI_EAU
546,US,WI_EAU
547,US,WI_EAU
559,US,WI_EAU
541,US,WI_GRE
542,US,WI_GRE
543,US,WI_GRE
544,US,WI_GRE
549,US,WI_GRE
535,US,WI_MAD
537,US,WI_MAD
539,US,WI_MAD
530,US,WI_MIL
531,US,WI_MIL
532,US,WI_MIL
534,US,WI_MIL
246,US,WV_CHA
247,US,WV_CHA
248,US,WV_CHA
249,US,WV_CHA
250,US,WV_CHA
251,US,WV_CHA
252,US,WV_CHA
253,US,WV_CHA
256,US,WV_CHA
258,US,WV_CHA
259,US,WV_CHA
261,US,WV_CHA
262,US,WV_CHA
263,US,WV_CHA
264,US,WV_CHA
266,US,WV_CHA
415,US,WV_CHA
416,US,WV_CHA
457,US,WV_CHA
255,US,WV_HUN
257,US,WV_HUN
411,US,WV_HUN
412,US,WV_HUN
456,US,WV_HUN
823,US,WY_GRE
825,US,WY_GRE
829,US,WY_GRE
831,US,WY_GRE
A0,CA,NF_STJ
A1,CA,NF_STJ
A2,CA,NF_STJ
A5,CA,NF_STJ
A8,CA,NF_STJ
B0,CA,NS_HAL
B1,CA,NS_HAL
B2,CA,NS_HAL
B3,CA,NS_HAL
B4,CA,NS_HAL
B5,CA,NS_HAL
B6,CA,NS_HAL
B9,CA,NS_HAL
E0,CA,NB_MON
E1,CA,NB_MON
E2,CA,NB_MON
E3,CA,NB_MON
E4,CA,NB_MON
E5,CA,NB_MON
E6,CA,NB_MON
E7,CA,NB_MON
E8,CA,NB_MON
E9,CA,NB_MON
C0,CA,NB_MON
C1,CA,NB_MON
G0,CA,PQ_QUE
G1,CA,PQ_QUE
G2,CA,PQ_QUE
G3,CA,PQ_QUE
G4,CA,PQ_QUE
G5,CA,PQ_QUE
G6,CA,PQ_QUE
G7,CA,PQ_QUE
G8,CA,PQ_QUE
G9,CA,PQ_QUE
H0,CA,PQ_MON
H1,CA,PQ_MON
H2,CA,PQ_MON
H3,CA,PQ_MON
H4,CA,PQ_MON
H5,CA,PQ_MON
H7,CA,PQ_MON
H8,CA,PQ_MON
H9,CA,PQ_MON
J0,CA,PQ_MON
J1,CA,PQ_MON
J2,CA,PQ_MON
J3,CA,PQ_MON
J4,CA,PQ_MON
J5,CA,PQ_MON
J6,CA,PQ_MON
J7,CA,PQ_MON
J8,CA,PQ_MON
J9,CA,PQ_MON
K0,CA,ON_OTT
K1,CA,ON_OTT
K2,CA,ON_OTT
K4,CA,ON_OTT
K6,CA,ON_OTT
K7,CA,ON_OTT
K8,CA,ON_OTT
K9,CA,ON_OTT
L0,CA,ON_TOR
L1,CA,ON_TOR
L2,CA,ON_TOR
L3,CA,ON_TOR
L4,CA,ON_TOR
L5,CA,ON_TOR
L6,CA,ON_TOR
L7,CA,ON_TOR
L8,CA,ON_TOR
L9,CA,ON_TOR
M0,CA,ON_TOR
M1,CA,ON_TOR
M2,CA,ON_TOR
M3,CA,ON_TOR
M4,CA,ON_TOR
M5,CA,ON_TOR
M6,CA,ON_TOR
M7,CA,ON_TOR
M8,CA,ON_TOR
M9,CA,ON_TOR
N0,CA,ON_LON
N1,CA,ON_LON
N2,CA,ON_LON
N3,CA,ON_LON
N4,CA,ON_LON
N5,CA,ON_LON
N6,CA,ON_LON
N7,CA,ON_LON
N8,CA,ON_LON
N9,CA,ON_LON
P0,CA,ON_SUD
P1,CA,ON_SUD
P2,CA,ON_SUD
P3,CA,ON_SUD
P4,CA,ON_SUD
P5,CA,ON_SUD
P6,CA,ON_SUD
P7,CA,ON_SUD
P8,CA,ON_SUD
P9,CA,ON_SUD
R0,CA,MB_WIN
R1,CA,MB_WIN
R2,CA,MB_WIN
R3,CA,MB_WIN
R4,CA,MB_WIN
R5,CA,MB_WIN
R6,CA,MB_WIN
R7,CA,MB_WIN
R8,CA,MB_WIN
R9,CA,MB_WIN
S0,CA,SK_REG
S2,CA,SK_REG
S3,CA,SK_REG
S4,CA,SK_REG
S6,CA,SK_REG
S7,CA,SK_REG
S9,CA,SK_REG
T0,CA,AB_CAL
T1,CA,AB_CAL
T2,CA,AB_CAL
T3,CA,AB_CAL
T4,CA,AB_CAL
T5,CA,AB_CAL
T6,CA,AB_CAL
T7,CA,AB_CAL
T8,CA,AB_CAL
T9,CA,AB_CAL
V0M,CA,BC_VAN
V0N,CA,BC_VAN
V0P,CA,BC_VAN
V0R,CA,BC_VAN
V0S,CA,BC_VAN
V0X,CA,BC_VAN
V1M,CA,BC_VAN
V2P,CA,BC_VAN
V2R,CA,BC_VAN
V2S,CA,BC_VAN
V2T,CA,BC_VAN
V2V,CA,BC_VAN
V2W,CA,BC_VAN
V2X,CA,BC_VAN
V2Y,CA,BC_VAN
V2Z,CA,BC_VAN
V3,CA,BC_VAN
V4A,CA,BC_VAN
V4B,CA,BC_VAN
V4C,CA,BC_VAN
V4E,CA,BC_VAN
V4G,CA,BC_VAN
V4K,CA,BC_VAN
V4L,CA,BC_VAN
V4M,CA,BC_VAN
V4N,CA,BC_VAN
V4P,CA,BC_VAN
V4R,CA,BC_VAN
V4S,CA,BC_VAN
V4W,CA,BC_VAN
V4X,CA,BC_VAN
V4Z,CA,BC_VAN
V5,CA,BC_VAN
V6,CA,BC_VAN
V7,CA,BC_VAN
V8A,CA,BC_VAN
V8B,CA,BC_VAN
V8C,CA,BC_VAN
V8K,CA,BC_VAN
V8L,CA,BC_VAN
V8M,CA,BC_VAN
V8N,CA,BC_VAN
V8P,CA,BC_VAN
V8R,CA,BC_VAN
V8S,CA,BC_VAN
V8T,CA,BC_VAN
V8V,CA,BC_VAN
